Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 6 and y pos 21, HP : 1, type : 2
enemy at x pos 10 and y pos 22, HP : 1, type : 2
enemy at x pos 154 and y pos 20, HP : 1, type : 2
enemy at x pos 19 and y pos 14, HP : 1, type : 2
enemy at x pos 13 and y pos 8, HP : 1, type : 12
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 160 and y pos 30, HP : 1, type : 2
enemy at x pos 152 and y pos 25, HP : 1, type : 2
enemy at x pos 6 and y pos 23, HP : 1, type : 2
enemy at x pos 10 and y pos 26, HP : 1, type : 2
enemy at x pos 154 and y pos 24, HP : 1, type : 2
enemy at x pos 20 and y pos 19, HP : 1, type : 2
enemy at x pos 12 and y pos 12, HP : 1, type : 12
enemy at x pos 25 and y pos 9, HP : 1, type : 12
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 160 and y pos 32, HP : 1, type : 2
enemy at x pos 152 and y pos 27, HP : 1, type : 2
enemy at x pos 7 and y pos 25, HP : 1, type : 2
enemy at x pos 11 and y pos 28, HP : 1, type : 2
enemy at x pos 153 and y pos 26, HP : 1, type : 2
enemy at x pos 20 and y pos 21, HP : 1, type : 2
enemy at x pos 11 and y pos 14, HP : 1, type : 12
enemy at x pos 25 and y pos 11, HP : 1, type : 12
Shoot at x pos 13 and y pos 40, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 160 and y pos 32, HP : 1, type : 2
enemy at x pos 153 and y pos 29, HP : 1, type : 2
enemy at x pos 7 and y pos 26, HP : 1, type : 2
enemy at x pos 10 and y pos 29, HP : 1, type : 2
enemy at x pos 153 and y pos 26, HP : 1, type : 2
enemy at x pos 20 and y pos 22, HP : 1, type : 2
enemy at x pos 11 and y pos 14, HP : 1, type : 12
enemy at x pos 25 and y pos 12, HP : 1, type : 12
Shoot at x pos 24 and y pos 40, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 160 and y pos 34, HP : 1, type : 2
enemy at x pos 154 and y pos 35, HP : 1, type : 2
enemy at x pos 6 and y pos 29, HP : 1, type : 2
enemy at x pos 10 and y pos 31, HP : 1, type : 2
enemy at x pos 157 and y pos 27, HP : 1, type : 2
enemy at x pos 22 and y pos 24, HP : 1, type : 2
enemy at x pos 10 and y pos 19, HP : 1, type : 12
enemy at x pos 25 and y pos 17, HP : 1, type : 12
enemy at x pos 121 and y pos 11, HP : 1, type : 2
Shoot at x pos 86 and y pos 5, HP : 1, type : 3
Shoot at x pos 26 and y pos 40, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 160 and y pos 35, HP : 1, type : 2
enemy at x pos 154 and y pos 35, HP : 1, type : 2
enemy at x pos 6 and y pos 30, HP : 1, type : 2
enemy at x pos 9 and y pos 32, HP : 1, type : 2
enemy at x pos 157 and y pos 28, HP : 1, type : 2
enemy at x pos 23 and y pos 24, HP : 1, type : 2
enemy at x pos 9 and y pos 20, HP : 1, type : 12
enemy at x pos 25 and y pos 18, HP : 1, type : 12
enemy at x pos 120 and y pos 11, HP : 1, type : 2
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 161 and y pos 37, HP : 1, type : 2
enemy at x pos 153 and y pos 38, HP : 1, type : 2
enemy at x pos 3 and y pos 31, HP : 1, type : 2
enemy at x pos 10 and y pos 35, HP : 1, type : 2
enemy at x pos 158 and y pos 31, HP : 1, type : 2
enemy at x pos 24 and y pos 25, HP : 1, type : 2
enemy at x pos 8 and y pos 20, HP : 1, type : 12
enemy at x pos 25 and y pos 19, HP : 1, type : 12
enemy at x pos 118 and y pos 12, HP : 1, type : 2
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 160 and y pos 38, HP : 1, type : 2
enemy at x pos 153 and y pos 40, HP : 1, type : 2
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 160 and y pos 39, HP : 1, type : 2
enemy at x pos 3 and y pos 32, HP : 1, type : 2
enemy at x pos 10 and y pos 35, HP : 1, type : 2
enemy at x pos 159 and y pos 33, HP : 1, type : 2
enemy at x pos 25 and y pos 25, HP : 1, type : 2
enemy at x pos 7 and y pos 24, HP : 1, type : 12
enemy at x pos 25 and y pos 19, HP : 1, type : 12
enemy at x pos 118 and y pos 12, HP : 1, type : 2
enemy at x pos 6 and y pos 6, HP : 1, type : 2
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 160 and y pos 40, HP : 1, type : 2
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 4 and y pos 34, HP : 1, type : 2
enemy at x pos 9 and y pos 36, HP : 1, type : 2
enemy at x pos 161 and y pos 33, HP : 1, type : 2
enemy at x pos 25 and y pos 25, HP : 0, type : 2
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 4 and y pos 34, HP : 1, type : 2
enemy at x pos 9 and y pos 36, HP : 1, type : 2
enemy at x pos 161 and y pos 33, HP : 1, type : 2
enemy at x pos 7 and y pos 24, HP : 1, type : 12
enemy at x pos 26 and y pos 21, HP : 1, type : 12
enemy at x pos 118 and y pos 13, HP : 1, type : 2
enemy at x pos 9 and y pos 6, HP : 1, type : 2
enemy at x pos 54 and y pos 10, HP : 1, type : 2
enemy at x pos 137 and y pos 7, HP : 1, type : 2
Shoot at x pos 86 and y pos 3, HP : 1, type : 3
enemy at x pos 36 and y pos 7, HP : 1, type : 2
enemy at x pos 38 and y pos 9, HP : 1, type : 2
Shoot at x pos 86 and y pos 10, HP : 1, type : 3
enemy at x pos 24 and y pos 2, HP : 1, type : 2
enemy at x pos 106 and y pos 6, HP : 1, type : 2
Shoot at x pos 25 and y pos 37, HP : 1, type : 3
Shoot at x pos 7 and y pos 29, HP : 1, type : 3
Shoot at x pos 25 and y pos 24, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 3 and y pos 34, HP : 1, type : 2
enemy at x pos 9 and y pos 36, HP : 1, type : 2
enemy at x pos 160 and y pos 33, HP : 1, type : 2
enemy at x pos 8 and y pos 25, HP : 1, type : 12
enemy at x pos 26 and y pos 21, HP : 1, type : 12
enemy at x pos 120 and y pos 13, HP : 1, type : 2
enemy at x pos 10 and y pos 6, HP : 1, type : 2
enemy at x pos 55 and y pos 10, HP : 1, type : 2
enemy at x pos 137 and y pos 8, HP : 1, type : 2
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 2 and y pos 34, HP : 1, type : 2
enemy at x pos 9 and y pos 36, HP : 1, type : 2
enemy at x pos 160 and y pos 33, HP : 1, type : 2
enemy at x pos 8 and y pos 26, HP : 1, type : 12
enemy at x pos 26 and y pos 21, HP : 1, type : 12
enemy at x pos 120 and y pos 14, HP : 1, type : 2
enemy at x pos 10 and y pos 7, HP : 1, type : 2
enemy at x pos 54 and y pos 10, HP : 1, type : 2
enemy at x pos 137 and y pos 8, HP : 1, type : 2
enemy at x pos 35 and y pos 7, HP : 1, type : 2
enemy at x pos 37 and y pos 9, HP : 1, type : 2
Shoot at x pos 86 and y pos 6, HP : 1, type : 3
enemy at x pos 22 and y pos 3, HP : 1, type : 2
enemy at x pos 106 and y pos 6, HP : 1, type : 2
Shoot at x pos 25 and y pos 40, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 1 and y pos 36, HP : 1, type : 2
enemy at x pos 9 and y pos 36, HP : 1, type : 2
enemy at x pos 160 and y pos 35, HP : 1, type : 2
enemy at x pos 7 and y pos 26, HP : 1, type : 12
enemy at x pos 26 and y pos 24, HP : 1, type : 12
enemy at x pos 120 and y pos 15, HP : 1, type : 2
enemy at x pos 9 and y pos 8, HP : 1, type : 2
enemy at x pos 55 and y pos 10, HP : 1, type : 2
enemy at x pos 137 and y pos 10, HP : 1, type : 2
enemy at x pos 36 and y pos 7, HP : 1, type : 2
enemy at x pos 38 and y pos 11, HP : 1, type : 2
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 2 and y pos 37, HP : 1, type : 2
enemy at x pos 9 and y pos 37, HP : 1, type : 2
enemy at x pos 160 and y pos 35, HP : 1, type : 2
enemy at x pos 6 and y pos 27, HP : 1, type : 12
enemy at x pos 26 and y pos 24, HP : 1, type : 12
enemy at x pos 120 and y pos 15, HP : 1, type : 2
enemy at x pos 8 and y pos 8, HP : 1, type : 2
enemy at x pos 55 and y pos 11, HP : 1, type : 2
enemy at x pos 138 and y pos 11, HP : 1, type : 2
enemy at x pos 36 and y pos 7, HP : 1, type : 2
enemy at x pos 38 and y pos 11, HP : 1, type : 2
enemy at x pos 23 and y pos 5, HP : 1, type : 2
enemy at x pos 106 and y pos 7, HP : 1, type : 2
Shoot at x pos 7 and y pos 40, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 4 and y pos 37, HP : 1, type : 2
enemy at x pos 8 and y pos 40, HP : 1, type : 2
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 7 and y pos 40, HP : 1, type : 2
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 160 and y pos 39, HP : 1, type : 2
enemy at x pos 9 and y pos 36, HP : 1, type : 12
enemy at x pos 25 and y pos 31, HP : 1, type : 12
enemy at x pos 120 and y pos 22, HP : 1, type : 2
enemy at x pos 8 and y pos 14, HP : 1, type : 2
enemy at x pos 56 and y pos 17, HP : 1, type : 2
enemy at x pos 138 and y pos 18, HP : 1, type : 2
enemy at x pos 35 and y pos 12, HP : 1, type : 2
enemy at x pos 37 and y pos 19, HP : 1, type : 2
enemy at x pos 24 and y pos 10, HP : 1, type : 2
enemy at x pos 105 and y pos 12, HP : 1, type : 2
enemy at x pos 151 and y pos 10, HP : 1, type : 12
enemy at x pos 68 and y pos 12, HP : 1, type : 2
enemy at x pos 44 and y pos 6, HP : 1, type : 2
enemy at x pos 151 and y pos 4, HP : 1, type : 2
enemy at x pos 64 and y pos 7, HP : 1, type : 2
Shoot at x pos 25 and y pos 40, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 160 and y pos 40, HP : 1, type : 2
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 9 and y pos 37, HP : 1, type : 12
enemy at x pos 24 and y pos 33, HP : 1, type : 12
enemy at x pos 120 and y pos 26, HP : 1, type : 2
enemy at x pos 7 and y pos 16, HP : 1, type : 2
enemy at x pos 56 and y pos 18, HP : 1, type : 2
enemy at x pos 139 and y pos 19, HP : 1, type : 2
enemy at x pos 35 and y pos 12, HP : 1, type : 2
enemy at x pos 36 and y pos 20, HP : 1, type : 2
enemy at x pos 24 and y pos 11, HP : 1, type : 2
enemy at x pos 105 and y pos 13, HP : 1, type : 2
enemy at x pos 150 and y pos 11, HP : 1, type : 12
enemy at x pos 69 and y pos 13, HP : 1, type : 2
enemy at x pos 41 and y pos 7, HP : 1, type : 2
enemy at x pos 152 and y pos 5, HP : 1, type : 2
enemy at x pos 63 and y pos 9, HP : 1, type : 2
enemy at x pos 76 and y pos 4, HP : 1, type : 2
enemy at x pos 4 and y pos 5, HP : 1, type : 2
Shoot at x pos 25 and y pos 40, HP : 1, type : 3
